timestamp_ms,x,y,z,timestamp
295215,0.92,0.55,0.12,1970-01-01 00:04:55.215
295228,0.37,0.49,0.06,1970-01-01 00:04:55.228
295241,0.55,0.49,0.06,1970-01-01 00:04:55.241
295253,0.85,0.55,0.12,1970-01-01 00:04:55.253
295266,0.61,0.49,0.12,1970-01-01 00:04:55.266
295279,0.49,0.49,0.06,1970-01-01 00:04:55.279
295291,0.98,0.49,0.12,1970-01-01 00:04:55.291
295303,0.79,0.49,0.12,1970-01-01 00:04:55.303
295316,0.49,0.49,0.06,1970-01-01 00:04:55.316
295328,0.73,0.49,0.06,1970-01-01 00:04:55.328
295342,0.85,0.49,0.12,1970-01-01 00:04:55.342
295355,0.43,0.49,0.06,1970-01-01 00:04:55.355
295368,0.67,0.49,0.06,1970-01-01 00:04:55.368
295381,0.79,0.49,0.06,1970-01-01 00:04:55.381
295393,0.37,0.43,0.06,1970-01-01 00:04:55.393
295406,0.31,0.49,0.0,1970-01-01 00:04:55.406
295419,0.73,0.55,0.06,1970-01-01 00:04:55.419
295432,0.43,0.49,0.0,1970-01-01 00:04:55.432
295445,0.37,0.43,0.06,1970-01-01 00:04:55.445
295458,0.92,0.55,0.0,1970-01-01 00:04:55.458
295470,0.67,0.49,0.06,1970-01-01 00:04:55.470
295483,0.37,0.43,0.0,1970-01-01 00:04:55.483
295497,1.1,0.55,0.06,1970-01-01 00:04:55.497
295510,1.46,0.55,0.06,1970-01-01 00:04:55.510
295522,-0.31,0.43,0.0,1970-01-01 00:04:55.522
295535,0.43,0.49,0.06,1970-01-01 00:04:55.535
295548,1.46,0.55,0.06,1970-01-01 00:04:55.548
295561,0.06,0.43,0.0,1970-01-01 00:04:55.561
295574,0.06,0.43,0.0,1970-01-01 00:04:55.574
295587,1.16,0.55,0.06,1970-01-01 00:04:55.587
295600,0.55,0.49,0.0,1970-01-01 00:04:55.600
295613,0.0,0.49,0.0,1970-01-01 00:04:55.613
295625,0.98,0.49,0.0,1970-01-01 00:04:55.625
295639,0.73,0.49,0.0,1970-01-01 00:04:55.639
295652,0.24,0.49,0.0,1970-01-01 00:04:55.652
295665,0.61,0.49,0.0,1970-01-01 00:04:55.665
295678,0.73,0.49,0.0,1970-01-01 00:04:55.678
295691,0.24,0.43,0.06,1970-01-01 00:04:55.691
295704,0.61,0.49,0.06,1970-01-01 00:04:55.704
295717,0.85,0.49,0.06,1970-01-01 00:04:55.717
295730,0.24,0.55,0.06,1970-01-01 00:04:55.730
295743,0.37,0.49,0.06,1970-01-01 00:04:55.743
295756,0.98,0.55,0.06,1970-01-01 00:04:55.756
295769,0.31,0.49,0.06,1970-01-01 00:04:55.769
295782,0.92,0.55,0.12,1970-01-01 00:04:55.782
295795,1.1,0.55,0.06,1970-01-01 00:04:55.795
295808,0.55,0.55,0.06,1970-01-01 00:04:55.808
295821,0.61,0.49,0.06,1970-01-01 00:04:55.821
295835,0.92,0.55,0.06,1970-01-01 00:04:55.835
295849,0.31,0.49,0.0,1970-01-01 00:04:55.849
295862,0.31,0.49,0.0,1970-01-01 00:04:55.862
295875,0.85,0.49,0.06,1970-01-01 00:04:55.875
295888,0.49,0.49,0.06,1970-01-01 00:04:55.888
295903,0.55,0.49,0.0,1970-01-01 00:04:55.903
295916,0.73,0.49,0.06,1970-01-01 00:04:55.916
295929,0.61,0.49,0.06,1970-01-01 00:04:55.929
295942,0.49,0.49,0.06,1970-01-01 00:04:55.942
295955,0.55,0.49,0.06,1970-01-01 00:04:55.955
295968,0.55,0.49,0.06,1970-01-01 00:04:55.968
295981,0.49,0.55,0.0,1970-01-01 00:04:55.981
295995,0.49,0.49,0.0,1970-01-01 00:04:55.995
296008,0.43,0.49,0.0,1970-01-01 00:04:56.008
296021,0.37,0.49,0.06,1970-01-01 00:04:56.021
296034,0.98,0.49,0.06,1970-01-01 00:04:56.034
296047,0.43,0.49,0.06,1970-01-01 00:04:56.047
296060,0.06,0.43,0.0,1970-01-01 00:04:56.060
296073,0.92,0.49,0.06,1970-01-01 00:04:56.073
296086,0.43,0.49,0.0,1970-01-01 00:04:56.086
296099,0.67,0.49,0.06,1970-01-01 00:04:56.099
296112,0.92,0.49,0.06,1970-01-01 00:04:56.112
296125,0.67,0.49,0.06,1970-01-01 00:04:56.125
296137,0.24,0.49,-0.06,1970-01-01 00:04:56.137
296151,0.67,0.49,0.0,1970-01-01 00:04:56.151
296164,0.37,0.49,0.0,1970-01-01 00:04:56.164
296177,0.43,0.49,0.0,1970-01-01 00:04:56.177
296190,0.73,0.55,0.06,1970-01-01 00:04:56.190
296203,0.92,0.55,0.12,1970-01-01 00:04:56.203
296216,0.79,0.49,0.12,1970-01-01 00:04:56.216
296230,0.61,0.49,0.06,1970-01-01 00:04:56.230
296242,0.67,0.49,0.06,1970-01-01 00:04:56.242
296255,0.67,0.49,0.06,1970-01-01 00:04:56.255
296268,0.49,0.49,0.06,1970-01-01 00:04:56.268
296281,0.49,0.49,0.0,1970-01-01 00:04:56.281
296295,0.55,0.49,0.0,1970-01-01 00:04:56.295
296309,0.31,0.49,0.0,1970-01-01 00:04:56.309
296322,0.49,0.49,0.0,1970-01-01 00:04:56.322
296335,0.61,0.43,0.0,1970-01-01 00:04:56.335
296349,0.24,0.43,0.06,1970-01-01 00:04:56.349
296362,0.31,0.43,0.06,1970-01-01 00:04:56.362
296375,0.61,0.49,0.12,1970-01-01 00:04:56.375
296388,0.67,0.49,0.12,1970-01-01 00:04:56.388
296400,0.49,0.43,0.06,1970-01-01 00:04:56.400
296412,0.43,0.43,0.06,1970-01-01 00:04:56.412
296425,0.55,0.49,0.0,1970-01-01 00:04:56.425
296437,0.31,0.43,0.0,1970-01-01 00:04:56.437
296450,0.55,0.49,0.0,1970-01-01 00:04:56.450
296462,0.98,0.49,0.06,1970-01-01 00:04:56.462
296475,0.85,0.49,0.06,1970-01-01 00:04:56.475
296489,0.67,0.49,0.0,1970-01-01 00:04:56.489
296501,0.79,0.49,0.06,1970-01-01 00:04:56.501
296514,0.67,0.49,0.06,1970-01-01 00:04:56.514
296527,0.61,0.55,0.0,1970-01-01 00:04:56.527
296540,0.67,0.49,0.06,1970-01-01 00:04:56.540
296553,0.61,0.49,0.06,1970-01-01 00:04:56.553
296566,0.61,0.49,0.06,1970-01-01 00:04:56.566
296578,0.55,0.49,0.06,1970-01-01 00:04:56.578
296591,0.67,0.49,0.06,1970-01-01 00:04:56.591
296604,0.61,0.49,0.0,1970-01-01 00:04:56.604
296617,0.37,0.49,0.0,1970-01-01 00:04:56.617
296630,0.61,0.49,0.0,1970-01-01 00:04:56.630
296643,0.55,0.49,0.06,1970-01-01 00:04:56.643
296656,0.61,0.43,0.0,1970-01-01 00:04:56.656
296669,0.37,0.49,0.0,1970-01-01 00:04:56.669
296682,0.24,0.49,0.0,1970-01-01 00:04:56.682
296695,0.61,0.55,0.0,1970-01-01 00:04:56.695
296708,0.24,0.49,0.06,1970-01-01 00:04:56.708
296721,0.98,0.55,0.12,1970-01-01 00:04:56.721
296734,1.34,0.61,0.12,1970-01-01 00:04:56.734
296747,0.92,0.55,0.06,1970-01-01 00:04:56.747
296760,-0.12,0.43,-0.06,1970-01-01 00:04:56.760
296773,0.61,0.49,0.0,1970-01-01 00:04:56.773
296786,0.43,0.49,0.06,1970-01-01 00:04:56.786
296799,0.92,0.49,0.0,1970-01-01 00:04:56.799
296814,0.37,0.43,0.0,1970-01-01 00:04:56.814
296827,0.43,0.49,0.06,1970-01-01 00:04:56.827
296840,0.85,0.49,0.06,1970-01-01 00:04:56.840
296853,0.24,0.49,0.0,1970-01-01 00:04:56.853
296866,0.06,0.49,0.0,1970-01-01 00:04:56.866
296879,1.04,0.55,0.06,1970-01-01 00:04:56.879
296892,0.73,0.55,0.06,1970-01-01 00:04:56.892
296904,0.31,0.49,0.06,1970-01-01 00:04:56.904
296917,0.79,0.49,0.06,1970-01-01 00:04:56.917
296930,0.61,0.43,0.06,1970-01-01 00:04:56.930
296944,0.12,0.49,0.0,1970-01-01 00:04:56.944
296957,0.73,0.49,0.0,1970-01-01 00:04:56.957
296970,0.73,0.55,0.0,1970-01-01 00:04:56.970
296983,0.24,0.49,0.0,1970-01-01 00:04:56.983
296996,0.61,0.55,0.0,1970-01-01 00:04:56.996
297009,0.49,0.49,0.0,1970-01-01 00:04:57.009
297022,0.61,0.55,0.0,1970-01-01 00:04:57.022
297035,0.61,0.49,0.0,1970-01-01 00:04:57.035
297048,0.49,0.49,0.06,1970-01-01 00:04:57.048
297061,0.61,0.49,0.06,1970-01-01 00:04:57.061
297074,0.55,0.49,0.06,1970-01-01 00:04:57.074
297087,0.37,0.49,0.06,1970-01-01 00:04:57.087
297100,0.55,0.43,0.06,1970-01-01 00:04:57.100
297113,0.43,0.43,0.0,1970-01-01 00:04:57.113
297126,0.31,0.49,0.0,1970-01-01 00:04:57.126
297139,0.85,0.49,0.06,1970-01-01 00:04:57.139
297152,0.55,0.49,0.0,1970-01-01 00:04:57.152
297165,0.31,0.49,0.0,1970-01-01 00:04:57.165
297178,0.73,0.49,0.06,1970-01-01 00:04:57.178
297191,0.55,0.49,0.06,1970-01-01 00:04:57.191
297203,0.49,0.49,0.0,1970-01-01 00:04:57.203
297217,0.73,0.55,0.06,1970-01-01 00:04:57.217
297230,0.79,0.55,0.06,1970-01-01 00:04:57.230
297243,0.31,0.49,0.06,1970-01-01 00:04:57.243
297255,0.61,0.49,0.06,1970-01-01 00:04:57.255
297268,0.67,0.49,0.0,1970-01-01 00:04:57.268
297280,0.24,0.49,0.0,1970-01-01 00:04:57.280
297293,0.43,0.49,0.0,1970-01-01 00:04:57.293
297306,0.43,0.49,0.06,1970-01-01 00:04:57.306
297319,0.37,0.49,0.06,1970-01-01 00:04:57.319
297332,0.67,0.49,0.06,1970-01-01 00:04:57.332
297345,0.37,0.49,0.06,1970-01-01 00:04:57.345
297358,0.73,0.49,0.06,1970-01-01 00:04:57.358
297371,0.37,0.49,0.06,1970-01-01 00:04:57.371
297384,0.67,0.49,0.06,1970-01-01 00:04:57.384
297397,0.92,0.49,0.12,1970-01-01 00:04:57.397
297410,0.37,0.49,0.0,1970-01-01 00:04:57.410
297424,0.37,0.49,0.0,1970-01-01 00:04:57.424
297437,0.67,0.49,0.0,1970-01-01 00:04:57.437
297451,0.43,0.49,-0.06,1970-01-01 00:04:57.451
297464,0.37,0.49,0.0,1970-01-01 00:04:57.464
297477,0.85,0.55,0.06,1970-01-01 00:04:57.477
