timestamp_ms,x,y,z
298369,0.61,0.49,0.06
298382,0.43,0.49,0.00
298395,0.61,0.43,0.06
298408,0.61,0.49,0.06
298421,0.49,0.49,0.06
298434,0.61,0.49,0.00
298447,0.67,0.49,0.06
298460,0.37,0.49,0.06
298473,0.61,0.49,0.06
298486,0.61,0.49,0.06
298499,0.43,0.49,0.06
298512,0.55,0.55,0.06
298525,0.73,0.49,0.06
298538,0.37,0.49,0.06
298551,0.61,0.49,0.06
298566,0.61,0.49,0.06
298580,0.31,0.49,0.06
298595,0.49,0.49,0.00
298608,0.67,0.49,0.06
298622,0.37,0.49,0.06
298635,0.67,0.49,0.06
298648,0.73,0.55,0.06
298661,0.31,0.49,0.06
298674,0.43,0.49,0.00
298687,0.49,0.49,0.06
298701,0.73,0.49,0.00
298714,0.49,0.49,0.00
298727,0.73,0.49,0.06
298740,0.73,0.49,0.06
298753,0.43,0.49,0.06
298766,0.85,0.49,0.12
298779,0.85,0.49,0.12
298792,0.49,0.49,0.06
298805,0.43,0.49,0.00
298819,0.37,0.43,0.06
298832,0.49,0.49,0.00
298844,0.49,0.49,0.06
298857,0.73,0.55,0.06
298870,0.49,0.55,0.06
298883,0.37,0.49,0.06
298896,0.73,0.49,0.06
298909,0.55,0.49,0.06
298922,0.55,0.49,0.06
298935,0.61,0.49,0.00
298948,0.55,0.49,0.06
298961,0.18,0.43,0.00
298974,0.43,0.49,0.00
298987,0.92,0.49,0.00
299000,0.18,0.49,0.00
299013,0.12,0.43,0.06
299025,1.22,0.55,0.12
299038,0.37,0.49,0.06
299051,0.06,0.49,0.06
299064,0.92,0.55,0.06
299077,0.49,0.49,0.06
299090,0.43,0.43,0.06
299103,0.79,0.49,0.06
299116,0.37,0.49,0.06
299129,0.49,0.49,0.06
299142,0.73,0.49,0.06
299157,0.43,0.49,0.06
299170,0.49,0.49,0.06
299183,0.73,0.49,0.06
299196,0.67,0.49,0.06
299209,0.49,0.49,0.00
299222,0.55,0.49,0.00
299235,0.61,0.49,0.06
299248,0.49,0.49,0.00
299262,0.37,0.49,0.00
299275,0.67,0.49,0.06
299288,0.55,0.49,0.06
299301,0.37,0.49,0.00
299313,0.67,0.49,0.06
299326,0.85,0.49,0.06
299342,0.43,0.49,0.00
299356,0.67,0.49,0.06
299370,0.43,0.55,0.06
299384,0.49,0.49,0.06
299396,0.49,0.49,0.00
299409,0.49,0.49,0.00
299422,0.55,0.49,0.06
299435,0.49,0.49,0.06
299448,0.73,0.49,0.06
299462,0.73,0.55,0.06
299475,0.43,0.49,0.00
299488,0.24,0.55,0.06
299500,0.67,0.49,0.06
299513,0.43,0.49,0.00
299527,0.79,0.49,0.00
299540,0.67,0.49,0.00
299553,0.31,0.49,0.06
299566,0.55,0.49,0.06
299579,0.73,0.49,0.06
299592,0.31,0.49,0.06
299605,0.61,0.49,0.06
299619,0.67,0.49,0.06
299632,0.31,0.43,0.00
299645,0.31,0.43,0.06
299658,0.67,0.49,0.00
299671,0.49,0.43,0.00
299686,0.24,0.43,0.00
299700,0.24,0.43,0.00
299714,0.73,0.49,0.06
299728,0.31,0.49,0.06
299743,0.92,0.49,0.06
299758,0.24,0.49,0.00
299773,0.31,0.49,0.00
299788,0.73,0.49,0.06
299800,0.49,0.49,0.00
299814,0.67,0.49,0.06
299827,0.85,0.49,0.06
299840,0.43,0.49,0.00
299854,0.49,0.49,0.06
299867,0.73,0.43,0.00
299880,0.37,0.49,0.00
299893,0.37,0.49,0.00
299906,0.61,0.55,0.00
299919,0.43,0.49,0.06
299932,0.37,0.55,0.06
299946,0.67,0.55,0.06
299959,0.61,0.49,0.06
299973,0.37,0.49,0.06
299986,0.55,0.49,0.00
299999,0.61,0.49,0.06
300012,0.43,0.49,0.00
300026,0.37,0.49,0.06
300040,0.79,0.49,0.06
300053,0.55,0.49,0.00
300066,0.49,0.49,0.00
300079,0.79,0.49,0.06
300092,0.43,0.49,0.06
300105,0.85,0.55,0.06
300120,0.67,0.49,0.00
300135,0.24,0.43,0.00
300149,0.61,0.49,0.06
300162,0.67,0.49,0.00
300175,0.31,0.43,0.00
300188,0.55,0.49,0.00
300201,0.85,0.49,0.00
300214,0.31,0.49,0.00
300227,0.37,0.49,0.00
300241,0.79,0.55,0.06
300256,0.61,0.49,0.06
300269,0.49,0.49,0.06
300282,0.67,0.55,0.06
300294,0.61,0.55,0.06
300307,0.24,0.49,0.06
300320,0.49,0.49,0.00
300333,0.79,0.49,0.00
300345,0.31,0.49,0.00
300358,0.12,0.49,0.06
300371,1.04,0.49,0.06
300384,0.43,0.49,0.06
300397,0.24,0.49,0.06
300410,0.92,0.49,0.06
300423,0.43,0.49,0.06
300437,0.49,0.49,0.06
300450,0.79,0.49,0.06
300463,0.55,0.49,0.00
300475,0.55,0.43,0.00
300488,0.67,0.55,0.00
300501,0.37,0.49,0.00
300516,0.31,0.43,0.00
300531,0.73,0.49,0.06
300546,0.61,0.49,0.06
300561,0.49,0.49,0.00
300575,0.55,0.43,0.06
300588,0.43,0.49,0.06
300601,0.49,0.49,0.06
300614,0.55,0.49,0.06
300627,0.61,0.55,0.06
300640,0.43,0.43,0.00
300653,0.55,0.49,0.06
300666,0.73,0.49,0.06
300679,0.31,0.49,0.00
300692,0.43,0.49,0.06
300706,0.61,0.49,0.06
300719,0.67,0.43,0.06
300732,0.49,0.49,0.06
300745,0.67,0.49,0.00
300758,0.67,0.49,0.00
300772,0.43,0.49,0.00
300785,0.85,0.49,0.06
300798,0.61,0.49,0.00
300811,0.18,0.49,0.00
300824,0.37,0.49,0.06
300837,0.61,0.49,0.00
300850,0.31,0.49,0.00
300863,0.61,0.49,0.06
300876,0.92,0.55,0.06
300889,0.61,0.49,0.06
300902,0.37,0.49,0.06
300915,0.67,0.55,0.06
300928,0.43,0.49,0.06
300942,0.37,0.49,0.06
300955,0.61,0.49,0.06
300968,0.61,0.49,0.06
300981,0.31,0.49,0.06
300994,0.67,0.49,0.00
301007,0.67,0.49,0.00
301020,0.49,0.49,0.00
301033,0.31,0.49,0.06
